Postal District,Average Price,Date
AB1,,20200417
AB2,,20200417
AB3,,20200417
AB4,,20200417
AB5,,20200417
AB9,,20200417
AB10,"£216,359",20200417
AB11,"£172,711",20200417
AB12,"£204,926",20200417
AB13,"£443,077",20200417
AB14,"£231,618",20200417
AB15,"£354,381",20200417
AB16,"£120,584",20200417
AB21,"£206,619",20200417
AB22,"£192,500",20200417
AB23,"£230,512",20200417
AB24,"£151,648",20200417
AB25,"£183,026",20200417
AB30,"£223,662",20200417
AB31,"£325,888",20200417
AB32,"£293,641",20200417
AB33,"£246,395",20200417
AB34,"£292,047",20200417
AB35,"£257,777",20200417
AB36,"£243,596",20200417
AB37,"£188,495",20200417
AB38,"£175,114",20200417
AB39,"£250,731",20200417
AB41,"£225,220",20200417
AB42,"£158,537",20200417
AB43,"£138,378",20200417
AB44,"£125,128",20200417
AB45,"£152,738",20200417
AB51,"£246,110",20200417
AB52,"£244,013",20200417
AB53,"£180,031",20200417
AB54,"£176,905",20200417
AB55,"£149,914",20200417
AB56,"£142,384",20200417
AB99,—,20200417
AL1,"£633,604",20200417
AL2,"£542,054",20200417
AL3,"£661,395",20200417
AL4,"£609,572",20200417
AL5,"£861,860",20200417
AL6,"£795,083",20200417
AL7,"£359,239",20200417
AL8,"£549,614",20200417
AL9,"£727,668",20200417
AL10,"£345,450",20200417
B1,"£203,299",20200417
B2,"£190,585",20200417
B3,"£205,645",20200417
B4,"£152,871",20200417
B5,"£194,735",20200417
B6,"£120,809",20200417
B7,"£122,571",20200417
B8,"£147,285",20200417
B9,"£153,799",20200417
B10,"£154,981",20200417
B11,"£169,674",20200417
B12,"£159,789",20200417
B13,"£297,558",20200417
B14,"£219,334",20200417
B15,"£449,181",20200417
B16,"£227,150",20200417
B17,"£366,389",20200417
B18,"£166,119",20200417
B19,"£135,377",20200417
B20,"£211,509",20200417
B21,"£141,673",20200417
B22,,20200417
B23,"£161,662",20200417
B24,"£201,189",20200417
B25,"£171,246",20200417
B26,"£195,719",20200417
B27,"£197,259",20200417
B28,"£269,237",20200417
B29,"£241,755",20200417
B30,"£238,562",20200417
B31,"£197,262",20200417
B32,"£191,779",20200417
B33,"£162,242",20200417
B34,"£180,077",20200417
B35,"£143,308",20200417
B36,"£218,090",20200417
B37,"£186,428",20200417
B38,"£215,699",20200417
B40,—,20200417
B42,"£189,352",20200417
B43,"£224,676",20200417
B44,"£159,804",20200417
B45,"£290,716",20200417
B46,"£299,904",20200417
B47,"£363,550",20200417
B48,"£418,507",20200417
B49,"£362,950",20200417
B50,"£320,397",20200417
B60,"£329,292",20200417
B61,"£292,410",20200417
B62,"£260,648",20200417
B63,"£208,437",20200417
B64,"£184,443",20200417
B65,"£168,877",20200417
B66,"£160,664",20200417
B67,"£179,346",20200417
B68,"£183,618",20200417
B69,"£164,701",20200417
B70,"£164,853",20200417
B71,"£173,457",20200417
B72,"£350,963",20200417
B73,"£340,973",20200417
B74,"£461,226",20200417
B75,"£348,994",20200417
B76,"£316,346",20200417
B77,"£224,346",20200417
B78,"£248,655",20200417
B79,"£263,042",20200417
B80,"£304,379",20200417
B90,"£335,357",20200417
B91,"£475,987",20200417
B92,"£314,247",20200417
B93,"£567,757",20200417
B94,"£652,421",20200417
B95,"£507,640",20200417
B96,"£402,423",20200417
B97,"£261,160",20200417
B98,"£209,279",20200417
B99,,20200417
BA1,"£500,088",20200417
BA2,"£456,714",20200417
BA3,"£312,353",20200417
BA4,"£299,756",20200417
BA5,"£339,608",20200417
BA6,"£305,414",20200417
BA7,"£310,335",20200417
BA8,"£322,129",20200417
BA9,"£296,881",20200417
BA10,"£341,266",20200417
BA11,"£301,783",20200417
BA12,"£311,703",20200417
BA13,"£267,503",20200417
BA14,"£273,589",20200417
BA15,"£436,000",20200417
BA16,"£258,886",20200417
BA20,"£238,913",20200417
BA21,"£213,619",20200417
BA22,"£351,399",20200417
BB0,,20200417
BB1,"£138,342",20200417
BB2,"£147,531",20200417
BB3,"£132,455",20200417
BB4,"£183,341",20200417
BB5,"£121,418",20200417
BB6,"£187,433",20200417
BB7,"£273,015",20200417
BB8,"£144,493",20200417
BB9,"£113,637",20200417
BB10,"£126,771",20200417
BB11,"£110,560",20200417
BB12,"£148,309",20200417
BB18,"£153,599",20200417
BB94,,20200417
BD1,"£137,057",20200417
BD2,"£139,178",20200417
BD3,"£89,474",20200417
BD4,"£117,346",20200417
BD5,"£96,053",20200417
BD6,"£132,443",20200417
BD7,"£106,184",20200417
BD8,"£108,613",20200417
BD9,"£156,843",20200417
BD10,"£194,416",20200417
BD11,"£208,017",20200417
BD12,"£143,490",20200417
BD13,"£176,905",20200417
BD14,"£162,631",20200417
BD15,"£174,144",20200417
BD16,"£240,010",20200417
BD17,"£242,240",20200417
BD18,"£178,423",20200417
BD19,"£193,095",20200417
BD20,"£226,505",20200417
BD21,"£105,349",20200417
BD22,"£182,027",20200417
BD23,"£294,037",20200417
BD24,"£288,264",20200417
BD97,,20200417
BD98,,20200417
BD99,,20200417
BF1,,20200417
