Postal District,Average Price,Date
HA0,"£414,296",20200417
HA1,"£491,230",20200417
HA2,"£460,170",20200417
HA3,"£487,815",20200417
HA4,"£532,393",20200417
HA5,"£668,735",20200417
HA6,"£852,826",20200417
HA7,"£705,603",20200417
HA8,"£506,014",20200417
HA9,"£456,465",20200417
HD1,"£136,233",20200417
HD2,"£180,067",20200417
HD3,"£188,025",20200417
HD4,"£173,140",20200417
HD5,"£161,855",20200417
HD6,"£184,919",20200417
HD7,"£183,021",20200417
HD8,"£255,118",20200417
HD9,"£257,090",20200417
HG1,"£308,724",20200417
HG2,"£412,625",20200417
HG3,"£443,450",20200417
HG4,"£305,172",20200417
HG5,"£367,569",20200417
HP1,"£414,324",20200417
HP2,"£333,307",20200417
HP3,"£468,222",20200417
HP4,"£735,844",20200417
HP5,"£493,677",20200417
HP6,"£742,822",20200417
HP7,"£691,440",20200417
HP8,"£1,059,019",20200417
HP9,"£1,092,478",20200417
HP10,"£602,377",20200417
HP11,"£375,664",20200417
HP12,"£322,519",20200417
HP13,"£354,032",20200417
HP14,"£541,772",20200417
HP15,"£527,376",20200417
HP16,"£753,219",20200417
HP17,"£569,062",20200417
HP18,"£477,744",20200417
HP19,"£273,275",20200417
HP20,"£276,929",20200417
HP21,"£301,758",20200417
HP22,"£536,853",20200417
HP23,"£573,891",20200417
HP27,"£570,080",20200417
HR1,"£293,372",20200417
HR2,"£256,229",20200417
HR3,"£354,127",20200417
HR4,"£258,979",20200417
HR5,"£263,532",20200417
HR6,"£270,479",20200417
HR7,"£286,111",20200417
HR8,"£331,538",20200417
HR9,"£329,110",20200417
HS1,"£121,811",20200417
HS2,"£123,657",20200417
HS3,"£126,719",20200417
HS4,"£93,541",20200417
HS5,"£119,423",20200417
HS6,"£118,181",20200417
HS7,"£90,763",20200417
HS8,"£121,939",20200417
HS9,"£108,656",20200417
HU1,"£132,883",20200417
HU2,"£113,587",20200417
HU3,"£100,635",20200417
HU4,"£147,192",20200417
HU5,"£128,366",20200417
HU6,"£129,823",20200417
HU7,"£150,199",20200417
HU8,"£130,074",20200417
HU9,"£111,804",20200417
HU10,"£265,293",20200417
HU11,"£201,981",20200417
HU12,"£186,210",20200417
HU13,"£211,784",20200417
HU14,"£376,005",20200417
HU15,"£260,290",20200417
HU16,"£233,861",20200417
HU17,"£267,574",20200417
HU18,"£183,669",20200417
HU19,"£128,929",20200417
HU20,"£303,019",20200417
HU55,,20200417
HX1,"£117,567",20200417
HX2,"£163,949",20200417
HX3,"£198,704",20200417
HX4,"£232,040",20200417
HX5,"£169,186",20200417
HX6,"£200,558",20200417
HX7,"£245,815",20200417
IG1,"£397,226",20200417
IG2,"£421,817",20200417
IG3,"£432,133",20200417
IG4,"£523,527",20200417
IG5,"£490,928",20200417
IG6,"£435,123",20200417
IG7,"£661,753",20200417
IG8,"£638,784",20200417
IG9,"£613,903",20200417
IG10,"£585,881",20200417
IG11,"£329,428",20200417
IM1,—,20200417
IM2,—,20200417
IM3,—,20200417
IM4,—,20200417
IM5,—,20200417
IM6,—,20200417
IM7,—,20200417
IM8,—,20200417
IM9,—,20200417
IP1,"£229,738",20200417
IP2,"£209,033",20200417
IP3,"£240,893",20200417
IP4,"£271,398",20200417
IP5,"£318,008",20200417
IP6,"£318,475",20200417
IP7,"£391,257",20200417
IP8,"£312,033",20200417
IP9,"£362,227",20200417
IP10,"£441,932",20200417
IP11,"£273,867",20200417
IP12,"£389,484",20200417
IP13,"£424,855",20200417
IP14,"£288,406",20200417
IP15,"£550,723",20200417
IP16,"£269,710",20200417
IP17,"£360,910",20200417
IP18,"£486,440",20200417
IP19,"£305,808",20200417
IP20,"£290,081",20200417
IP21,"£365,269",20200417
IP22,"£323,145",20200417
IP23,"£376,108",20200417
IP24,"£227,905",20200417
IP25,"£241,774",20200417
IP26,"£266,791",20200417
IP27,"£203,858",20200417
IP28,"£295,489",20200417
IP29,"£438,988",20200417
IP30,"£391,526",20200417
IP31,"£377,098",20200417
IP32,"£296,719",20200417
IP33,"£327,121",20200417
IP98,,20200417
IV1,"£217,512",20200417
IV2,"£203,389",20200417
IV3,"£158,200",20200417
IV4,"£221,117",20200417
IV5,"£228,598",20200417
IV6,"£199,588",20200417
IV7,"£229,653",20200417
IV8,"£260,998",20200417
IV9,"£203,688",20200417
IV10,"£243,965",20200417
IV11,"£204,151",20200417
IV12,"£208,624",20200417
IV13,"£250,805",20200417
IV14,"£211,325",20200417
IV15,"£152,168",20200417
IV16,"£177,071",20200417
IV17,"£151,656",20200417
IV18,"£154,519",20200417
IV19,"£169,385",20200417
IV20,"£180,668",20200417
IV21,"£226,607",20200417
IV22,"£210,912",20200417
IV23,"£211,105",20200417
IV24,"£166,397",20200417
IV25,"£203,071",20200417
IV26,"£211,118",20200417
IV27,"£175,333",20200417
IV28,"£202,426",20200417
IV30,"£178,394",20200417
IV31,"£162,617",20200417
IV32,"£181,121",20200417
IV33,,20200417
IV34,,20200417
IV35,,20200417
IV36,"£185,354",20200417
IV40,"£190,633",20200417
IV41,"£187,058",20200417
IV42,"£216,794",20200417
IV43,"£264,628",20200417
IV44,"£302,186",20200417
IV45,"£201,455",20200417
IV46,"£237,769",20200417
IV47,"£194,079",20200417
IV48,"£186,289",20200417
IV49,"£213,212",20200417
IV51,"£197,066",20200417
IV52,"£344,791",20200417
IV53,"£170,358",20200417
IV54,"£220,049",20200417
IV55,"£220,980",20200417
IV56,"£245,189",20200417
IV63,"£233,457",20200417
IV99,,20200417
JE2,—,20200417
JE3,—,20200417
KA1,"£129,374",20200417
KA2,"£155,847",20200417
KA3,"£164,380",20200417
KA4,"£130,136",20200417
KA5,"£135,321",20200417
KA6,"£150,443",20200417
KA7,"£224,492",20200417
KA8,"£113,546",20200417
KA9,"£185,313",20200417
KA10,"£202,769",20200417
KA11,"£127,851",20200417
KA12,"£106,013",20200417
KA13,"£126,962",20200417
KA14,"£129,108",20200417
KA15,"£133,324",20200417
KA16,"£116,747",20200417
KA17,"£124,117",20200417
KA18,"£108,380",20200417
KA19,"£139,008",20200417
KA20,"£95,133",20200417
KA21,"£112,607",20200417
KA22,"£115,922",20200417
KA23,"£215,330",20200417
KA24,"£133,623",20200417
KA25,"£102,545",20200417
KA26,"£138,286",20200417
KA27,"£247,379",20200417
KA28,"£106,430",20200417
KA29,"£194,935",20200417
KA30,"£172,876",20200417
KT1,"£550,746",20200417
KT2,"£739,730",20200417
KT3,"£625,716",20200417
KT4,"£509,770",20200417
KT5,"£569,864",20200417
KT6,"£578,582",20200417
KT7,"£777,083",20200417
KT8,"£655,244",20200417
KT9,"£409,523",20200417
KT10,"£1,059,138",20200417
KT11,"£1,177,753",20200417
KT12,"£648,825",20200417
KT13,"£884,124",20200417
KT14,"£539,802",20200417
KT15,"£433,406",20200417
KT16,"£471,941",20200417
KT17,"£593,872",20200417
KT18,"£592,586",20200417
KT19,"£481,626",20200417
KT20,"£727,748",20200417
KT21,"£731,369",20200417
KT22,"£780,289",20200417
KT23,"£679,148",20200417
KT24,"£996,031",20200417
KW1,"£114,035",20200417
KW2,"£148,951",20200417
KW3,"£135,102",20200417
KW5,"£160,704",20200417
KW6,"£123,017",20200417
KW7,"£137,704",20200417
KW8,"£130,088",20200417
KW9,"£148,612",20200417
KW10,"£143,945",20200417
KW11,"£145,975",20200417
KW12,"£144,119",20200417
KW13,"£152,724",20200417
KW14,"£121,342",20200417
KW15,"£150,324",20200417
KW16,"£151,084",20200417
KW17,"£154,008",20200417
KY1,"£140,012",20200417
KY2,"£143,853",20200417
KY3,"£182,676",20200417
KY4,"£132,189",20200417
KY5,"£109,659",20200417
KY6,"£124,384",20200417
KY7,"£137,045",20200417
KY8,"£127,996",20200417
KY9,"£366,767",20200417
KY10,"£218,904",20200417
KY11,"£183,879",20200417
KY12,"£174,392",20200417
KY13,"£254,501",20200417
KY14,"£170,025",20200417
KY15,"£208,619",20200417
KY16,"£321,987",20200417
KY99,,20200417
L1,"£150,781",20200417
L2,"£165,178",20200417
L3,"£178,527",20200417
L4,"£89,786",20200417
L5,"£102,153",20200417
L6,"£102,213",20200417
L7,"£121,326",20200417
L8,"£123,504",20200417
L9,"£131,306",20200417
L10,"£153,504",20200417
L11,"£115,636",20200417
L12,"£187,268",20200417
L13,"£118,247",20200417
L14,"£148,093",20200417
L15,"£168,134",20200417
L16,"£256,686",20200417
L17,"£237,601",20200417
L18,"£325,078",20200417
L19,"£219,745",20200417
L20,"£102,656",20200417
L21,"£127,733",20200417
L22,"£199,778",20200417
L23,"£283,243",20200417
L24,"£137,961",20200417
L25,"£247,634",20200417
L26,"£194,316",20200417
L27,"£116,546",20200417
L28,"£96,909",20200417
L29,"£326,722",20200417
L30,"£125,970",20200417
L31,"£224,157",20200417
L32,"£130,896",20200417
L33,"£129,865",20200417
L34,"£199,859",20200417
L35,"£178,875",20200417
L36,"£157,005",20200417
L37,"£343,419",20200417
L38,"£319,014",20200417
L39,"£278,384",20200417
L40,"£281,263",20200417
L41,,20200417
L42,,20200417
L43,,20200417
L44,,20200417
L45,,20200417
L46,,20200417
L47,,20200417
L48,,20200417
L49,,20200417
L60,,20200417
L61,,20200417
L62,,20200417
L63,,20200417
L64,,20200417
L65,,20200417
L66,,20200417
L67,,20200417
L68,,20200417
L69,—,20200417
L70,,20200417
L71,,20200417
L72,,20200417
L73,,20200417
L74,,20200417
L75,,20200417
L80,,20200417
LA1,"£177,003",20200417
LA2,"£280,096",20200417
LA3,"£154,059",20200417
LA4,"£149,902",20200417
LA5,"£253,958",20200417
LA6,"£326,745",20200417
LA7,"£320,203",20200417
LA8,"£397,416",20200417
LA9,"£252,459",20200417
LA10,"£306,468",20200417
LA11,"£302,427",20200417
LA12,"£257,586",20200417
LA13,"£186,506",20200417
LA14,"£125,367",20200417
LA15,"£146,332",20200417
LA16,"£182,899",20200417
LA17,"£250,711",20200417
LA18,"£142,917",20200417
LA19,"£221,052",20200417
LA20,"£342,707",20200417
LA21,"£384,841",20200417
LA22,"£471,800",20200417
LA23,"£426,083",20200417
LD1,"£206,348",20200417
LD2,"£225,461",20200417
LD3,"£251,307",20200417
LD4,"£222,740",20200417
LD5,"£236,630",20200417
LD6,"£198,861",20200417
LD7,"£221,422",20200417
LD8,"£278,305",20200417
LE1,"£166,196",20200417
LE2,"£256,119",20200417
LE3,"£206,195",20200417
LE4,"£199,529",20200417
LE5,"£227,518",20200417
LE6,"£279,844",20200417
LE7,"£318,792",20200417
LE8,"£305,806",20200417
LE9,"£262,343",20200417
LE10,"£244,419",20200417
LE11,"£240,378",20200417
LE12,"£289,888",20200417
LE13,"£222,709",20200417
LE14,"£373,499",20200417
LE15,"£383,731",20200417
LE16,"£356,059",20200417
LE17,"£356,818",20200417
LE18,"£222,372",20200417
LE19,"£256,082",20200417
