Postal District,Average Price,Date
OL1,"£129,191",20200417
OL2,"£170,191",20200417
OL3,"£295,453",20200417
OL4,"£168,231",20200417
OL5,"£172,785",20200417
OL6,"£155,187",20200417
OL7,"£142,652",20200417
OL8,"£120,325",20200417
OL9,"£146,413",20200417
OL10,"£154,374",20200417
OL11,"£179,729",20200417
OL12,"£162,228",20200417
OL13,"£131,844",20200417
OL14,"£173,653",20200417
OL15,"£200,017",20200417
OL16,"£155,617",20200417
OL95,,20200417
OX1,"£519,273",20200417
OX2,"£701,038",20200417
OX3,"£451,453",20200417
OX4,"£385,620",20200417
OX5,"£424,300",20200417
OX6,,20200417
OX7,"£485,619",20200417
OX8,,20200417
OX9,"£473,150",20200417
OX10,"£471,662",20200417
OX11,"£346,778",20200417
OX12,"£387,386",20200417
OX13,"£517,266",20200417
OX14,"£388,513",20200417
OX15,"£452,021",20200417
OX16,"£251,388",20200417
OX17,"£433,468",20200417
OX18,"£386,264",20200417
OX20,"£524,131",20200417
OX25,"£474,417",20200417
OX26,"£329,991",20200417
OX27,"£452,716",20200417
OX28,"£331,282",20200417
OX29,"£477,636",20200417
OX33,"£517,870",20200417
OX39,"£478,402",20200417
OX44,"£531,537",20200417
OX49,"£621,699",20200417
PA1,"£156,561",20200417
PA2,"£157,393",20200417
PA3,"£112,374",20200417
PA4,"£151,510",20200417
PA5,"£149,084",20200417
PA6,"£268,031",20200417
PA7,"£251,343",20200417
PA8,"£159,962",20200417
PA9,"£220,854",20200417
PA10,"£209,271",20200417
PA11,"£312,438",20200417
PA12,"£222,616",20200417
PA13,"£377,156",20200417
PA14,"£124,782",20200417
PA15,"£116,264",20200417
PA16,"£156,380",20200417
PA17,"£222,387",20200417
PA18,"£225,815",20200417
PA19,"£178,131",20200417
PA20,"£140,949",20200417
PA21,"£216,396",20200417
PA22,"£344,121",20200417
PA23,"£151,056",20200417
PA24,"£228,619",20200417
PA25,"£327,408",20200417
PA26,"£237,316",20200417
PA27,"£203,861",20200417
PA28,"£128,261",20200417
PA29,"£164,452",20200417
PA30,"£146,480",20200417
PA31,"£182,188",20200417
PA32,"£183,978",20200417
PA33,"£193,108",20200417
PA34,"£186,313",20200417
PA35,"£214,634",20200417
PA36,"£150,023",20200417
PA37,"£246,723",20200417
PA38,"£305,157",20200417
PA39,,20200417
PA40,,20200417
PA41,"£222,042",20200417
PA42,"£161,882",20200417
PA43,"£154,183",20200417
PA44,"£237,672",20200417
PA45,"£184,516",20200417
PA46,"£128,512",20200417
PA47,"£153,325",20200417
PA48,"£175,065",20200417
PA49,"£242,114",20200417
PA60,"£179,191",20200417
PA61,"£226,809",20200417
PA62,—,20200417
PA63,"£377,201",20200417
PA64,"£235,937",20200417
PA65,"£210,319",20200417
PA66,"£209,222",20200417
PA67,"£203,016",20200417
PA68,"£461,935",20200417
PA69,"£387,640",20200417
PA70,"£258,141",20200417
PA71,"£391,684",20200417
PA72,"£215,128",20200417
PA73,"£279,127",20200417
PA74,"£187,541",20200417
PA75,"£219,517",20200417
PA76,"£237,451",20200417
PA77,"£185,541",20200417
PA78,"£189,509",20200417
PA80,"£227,993",20200417
PA81,,20200417
PA82,,20200417
PA83,,20200417
PA84,,20200417
PA85,,20200417
PA86,,20200417
PA87,,20200417
PA88,,20200417
PA98,,20200417
PE1,"£179,211",20200417
PE2,"£212,293",20200417
PE3,"£228,899",20200417
PE4,"£210,304",20200417
PE5,"£498,596",20200417
PE6,"£289,687",20200417
PE7,"£247,473",20200417
PE8,"£400,725",20200417
PE9,"£374,916",20200417
PE10,"£254,047",20200417
PE11,"£210,946",20200417
PE12,"£224,894",20200417
PE13,"£199,379",20200417
PE14,"£248,018",20200417
PE15,"£228,950",20200417
PE16,"£223,102",20200417
PE17,,20200417
PE18,,20200417
PE19,"£317,999",20200417
PE20,"£221,823",20200417
PE21,"£162,907",20200417
PE22,"£222,651",20200417
PE23,"£229,439",20200417
PE24,"£185,574",20200417
PE25,"£177,575",20200417
PE26,"£271,272",20200417
PE27,"£312,408",20200417
PE28,"£378,124",20200417
PE29,"£282,162",20200417
PE30,"£199,664",20200417
PE31,"£335,969",20200417
PE32,"£307,426",20200417
PE33,"£276,422",20200417
PE34,"£247,940",20200417
PE35,—,20200417
PE36,"£356,074",20200417
PE37,"£243,142",20200417
PE38,"£244,006",20200417
PE99,,20200417
PH1,"£179,046",20200417
PH2,"£224,022",20200417
PH3,"£281,261",20200417
PH4,"£184,468",20200417
PH5,"£233,876",20200417
PH6,"£292,368",20200417
PH7,"£222,468",20200417
PH8,"£294,268",20200417
PH9,"£307,791",20200417
PH10,"£198,540",20200417
PH11,"£191,950",20200417
PH12,"£221,532",20200417
PH13,"£186,053",20200417
PH14,"£231,113",20200417
PH15,"£257,149",20200417
PH16,"£264,405",20200417
PH17,"£243,812",20200417
PH18,"£235,566",20200417
PH19,"£170,421",20200417
PH20,"£224,731",20200417
PH21,"£251,993",20200417
PH22,"£212,889",20200417
PH23,"£244,604",20200417
PH24,"£268,282",20200417
PH25,"£268,619",20200417
PH26,"£228,064",20200417
PH30,—,20200417
PH31,"£240,748",20200417
PH32,"£213,442",20200417
PH33,"£165,430",20200417
PH34,"£242,321",20200417
PH35,"£233,725",20200417
PH36,"£227,461",20200417
PH37,"£190,341",20200417
PH38,"£370,140",20200417
PH39,"£243,114",20200417
PH40,"£241,282",20200417
PH41,"£164,497",20200417
PH42,"£173,050",20200417
PH43,—,20200417
PH44,—,20200417
PH49,"£198,826",20200417
PH50,"£130,044",20200417
PL1,"£210,248",20200417
PL2,"£174,558",20200417
PL3,"£242,795",20200417
PL4,"£186,838",20200417
PL5,"£170,870",20200417
PL6,"£239,680",20200417
PL7,"£242,811",20200417
PL8,"£483,291",20200417
PL9,"£283,734",20200417
PL10,"£297,698",20200417
PL11,"£242,524",20200417
PL12,"£251,789",20200417
PL13,"£290,265",20200417
PL14,"£243,267",20200417
PL15,"£260,190",20200417
PL16,"£324,804",20200417
